Date,Ville,Température (°C),Précipitations (mm)
2024-03-13,Toronto,,
2024-03-13,Vancouver,1.1,90.4
2024-03-13,Montreal,23.9,34.3
2024-03-13,Calgary,1.7,23.2
2024-03-13,Ottawa,-0.7,65.7
2024-03-13,Edmonton,32.8,78.3
2024-03-13,Quebec City,,67.2
2024-03-13,Winnipeg,23.0,13.3
2024-03-13,Halifax,20.4,
2024-03-13,Victoria,1.3,8.4
2024-03-14,Toronto,20.6,62.7
2024-03-14,Vancouver,,58.3
2024-03-14,Montreal,-4.0,18.7
2024-03-14,Calgary,-2.8,75.3
2024-03-14,Ottawa,-9.4,55.1
2024-03-14,Edmonton,20.5,42.8
2024-03-14,Quebec City,-4.5,53.7
2024-03-14,Winnipeg,14.1,67.6
2024-03-14,Halifax,24.5,55.6
2024-03-14,Victoria,,64.4
2024-03-15,Toronto,,
2024-03-15,Vancouver,,74.8
2024-03-15,Montreal,5.8,43.7
2024-03-15,Calgary,28.2,
2024-03-15,Ottawa,8.7,
2024-03-15,Edmonton,6.2,2.8
2024-03-15,Quebec City,5.0,45.6
2024-03-15,Winnipeg,-7.5,82.3
2024-03-15,Halifax,31.0,85.0
2024-03-15,Victoria,-8.5,81.4
2024-03-16,Toronto,21.2,28.2
2024-03-16,Vancouver,14.7,31.9
2024-03-16,Montreal,5.4,51.6
2024-03-16,Calgary,,
2024-03-16,Ottawa,20.9,67.9
2024-03-16,Edmonton,11.2,0.8
2024-03-16,Quebec City,-5.2,99.3
2024-03-16,Winnipeg,8.4,45.6
2024-03-16,Halifax,-6.1,66.3
2024-03-16,Victoria,23.1,11.8
2024-03-17,Toronto,,42.9
2024-03-17,Vancouver,13.8,
2024-03-17,Montreal,16.4,61.1
2024-03-17,Calgary,4.0,92.5
2024-03-17,Ottawa,,73.9
2024-03-17,Edmonton,9.0,
2024-03-17,Quebec City,,72.2
2024-03-17,Winnipeg,22.0,76.9
2024-03-17,Halifax,,95.8
2024-03-17,Victoria,34.7,47.8
2024-03-18,Toronto,30.8,16.6
2024-03-18,Vancouver,21.9,
2024-03-18,Montreal,-3.2,36.9
2024-03-18,Calgary,19.2,93.1
2024-03-18,Ottawa,12.7,77.5
2024-03-18,Edmonton,19.7,
2024-03-18,Quebec City,8.0,81.8
2024-03-18,Winnipeg,7.9,37.4
2024-03-18,Halifax,12.0,26.6
2024-03-18,Victoria,19.6,99.9
2024-03-19,Toronto,28.9,51.2
2024-03-19,Vancouver,,
2024-03-19,Montreal,,6.6
2024-03-19,Calgary,14.5,
2024-03-19,Ottawa,,
2024-03-19,Edmonton,15.7,32.2
2024-03-19,Quebec City,16.2,43.9
2024-03-19,Winnipeg,5.9,
2024-03-19,Halifax,19.4,95.8
2024-03-19,Victoria,27.7,
2024-03-20,Toronto,3.2,74.5
2024-03-20,Vancouver,14.0,
2024-03-20,Montreal,18.4,63.4
2024-03-20,Calgary,11.4,5.1
2024-03-20,Ottawa,28.6,59.8
2024-03-20,Edmonton,8.2,
2024-03-20,Quebec City,,57.9
2024-03-20,Winnipeg,13.2,59.9
2024-03-20,Halifax,17.2,19.7
2024-03-20,Victoria,13.1,22.4
2024-03-21,Toronto,22.9,57.6
2024-03-21,Vancouver,19.7,42.4
2024-03-21,Montreal,,12.1
2024-03-21,Calgary,-9.6,86.6
2024-03-21,Ottawa,-5.5,92.0
2024-03-21,Edmonton,-8.9,
2024-03-21,Quebec City,-1.1,3.1
2024-03-21,Winnipeg,22.9,4.8
2024-03-21,Halifax,11.3,51.3
2024-03-21,Victoria,21.2,31.1
2024-03-22,Toronto,8.0,
2024-03-22,Vancouver,,23.2
2024-03-22,Montreal,10.5,30.0
2024-03-22,Calgary,15.6,5.9
2024-03-22,Ottawa,8.3,67.1
2024-03-22,Edmonton,,16.7
2024-03-22,Quebec City,,96.8
2024-03-22,Winnipeg,5.2,20.2
2024-03-22,Halifax,9.5,68.6
2024-03-22,Victoria,-5.3,63.0
2024-03-23,Toronto,9.8,34.8
2024-03-23,Vancouver,27.6,19.1
2024-03-23,Montreal,,3.4
2024-03-23,Calgary,1.1,33.0
2024-03-23,Ottawa,,43.1
2024-03-23,Edmonton,,
2024-03-23,Quebec City,33.6,9.6
2024-03-23,Winnipeg,-6.2,85.9
2024-03-23,Halifax,18.7,9.6
2024-03-23,Victoria,0.3,52.2
2024-03-24,Toronto,,84.2
2024-03-24,Vancouver,,88.1
2024-03-24,Montreal,,82.1
2024-03-24,Calgary,-9.2,95.0
2024-03-24,Ottawa,17.4,11.5
2024-03-24,Edmonton,10.8,25.2
2024-03-24,Quebec City,,63.6
2024-03-24,Winnipeg,-0.7,53.8
2024-03-24,Halifax,-7.9,
2024-03-24,Victoria,28.5,77.8
2024-03-25,Toronto,,
2024-03-25,Vancouver,-5.9,56.9
2024-03-25,Montreal,-2.5,91.2
2024-03-25,Calgary,,
2024-03-25,Ottawa,0.6,93.0
2024-03-25,Edmonton,18.9,79.4
2024-03-25,Quebec City,21.9,
2024-03-25,Winnipeg,3.4,
2024-03-25,Halifax,1.3,49.2
2024-03-25,Victoria,,
2024-03-26,Toronto,,54.7
2024-03-26,Vancouver,27.9,28.6
2024-03-26,Montreal,14.1,99.2
2024-03-26,Calgary,11.7,41.2
2024-03-26,Ottawa,-2.2,
2024-03-26,Edmonton,,0.2
2024-03-26,Quebec City,22.7,19.0
2024-03-26,Winnipeg,2.6,94.6
2024-03-26,Halifax,4.7,
2024-03-26,Victoria,-5.0,43.2
2024-03-27,Toronto,,
2024-03-27,Vancouver,20.2,68.5
2024-03-27,Montreal,-5.3,7.3
2024-03-27,Calgary,5.2,
2024-03-27,Ottawa,12.7,21.9
2024-03-27,Edmonton,2.3,51.0
2024-03-27,Quebec City,21.3,92.1
2024-03-27,Winnipeg,8.7,
2024-03-27,Halifax,14.0,69.3
2024-03-27,Victoria,-6.0,43.2
2024-03-28,Toronto,,28.6
2024-03-28,Vancouver,24.1,88.3
2024-03-28,Montreal,,8.5
2024-03-28,Calgary,,0.3
2024-03-28,Ottawa,,77.8
2024-03-28,Edmonton,-3.0,38.1
2024-03-28,Quebec City,-1.8,27.3
2024-03-28,Winnipeg,0.0,76.6
2024-03-28,Halifax,30.6,
2024-03-28,Victoria,15.2,76.0
2024-03-29,Toronto,28.8,87.9
2024-03-29,Vancouver,28.5,7.6
2024-03-29,Montreal,15.2,30.9
2024-03-29,Calgary,-9.9,
2024-03-29,Ottawa,13.1,
2024-03-29,Edmonton,8.9,98.5
2024-03-29,Quebec City,,
2024-03-29,Winnipeg,-5.9,9.2
2024-03-29,Halifax,-4.7,40.1
2024-03-29,Victoria,32.9,56.3
2024-03-30,Toronto,-2.9,46.8
2024-03-30,Vancouver,-8.5,5.4
2024-03-30,Montreal,24.1,
2024-03-30,Calgary,15.1,77.5
2024-03-30,Ottawa,-5.4,79.5
2024-03-30,Edmonton,-9.7,77.8
2024-03-30,Quebec City,6.7,
2024-03-30,Winnipeg,10.6,68.0
2024-03-30,Halifax,17.2,11.3
2024-03-30,Victoria,7.9,37.3
2024-03-31,Toronto,,64.7
2024-03-31,Vancouver,-4.4,28.1
2024-03-31,Montreal,18.2,79.5
2024-03-31,Calgary,7.8,70.7
2024-03-31,Ottawa,-9.8,93.4
2024-03-31,Edmonton,33.8,
2024-03-31,Quebec City,27.3,91.0
2024-03-31,Winnipeg,,
2024-03-31,Halifax,,76.9
2024-03-31,Victoria,5.1,81.0
2024-04-01,Toronto,,
2024-04-01,Vancouver,9.1,84.5
2024-04-01,Montreal,20.7,30.7
2024-04-01,Calgary,,81.3
2024-04-01,Ottawa,-3.7,77.7
2024-04-01,Edmonton,28.0,30.2
2024-04-01,Quebec City,13.3,45.5
2024-04-01,Winnipeg,22.8,70.5
2024-04-01,Halifax,4.2,19.3
2024-04-01,Victoria,20.7,
2024-04-02,Toronto,,99.1
2024-04-02,Vancouver,1.0,36.1
2024-04-02,Montreal,6.4,31.3
2024-04-02,Calgary,,
2024-04-02,Ottawa,33.1,56.0
2024-04-02,Edmonton,-6.8,49.8
2024-04-02,Quebec City,-4.7,75.0
2024-04-02,Winnipeg,,50.2
2024-04-02,Halifax,-7.6,44.6
2024-04-02,Victoria,30.0,94.0
2024-04-03,Toronto,19.6,
2024-04-03,Vancouver,-9.0,68.1
2024-04-03,Montreal,-4.7,16.2
2024-04-03,Calgary,-1.0,5.0
2024-04-03,Ottawa,,23.0
2024-04-03,Edmonton,11.3,64.0
2024-04-03,Quebec City,33.0,16.4
2024-04-03,Winnipeg,,63.5
2024-04-03,Halifax,27.5,72.9
2024-04-03,Victoria,-8.1,7.5
2024-04-04,Toronto,21.0,34.7
2024-04-04,Vancouver,,6.3
2024-04-04,Montreal,21.5,
2024-04-04,Calgary,,
2024-04-04,Ottawa,-1.4,
2024-04-04,Edmonton,11.0,
2024-04-04,Quebec City,-0.9,
2024-04-04,Winnipeg,-5.0,
2024-04-04,Halifax,18.7,57.2
2024-04-04,Victoria,9.0,51.8
2024-04-05,Toronto,27.7,14.6
2024-04-05,Vancouver,14.4,16.1
2024-04-05,Montreal,12.8,
2024-04-05,Calgary,,
2024-04-05,Ottawa,4.6,75.1
2024-04-05,Edmonton,33.4,73.6
2024-04-05,Quebec City,4.7,93.8
2024-04-05,Winnipeg,,
2024-04-05,Halifax,,
2024-04-05,Victoria,-6.7,
2024-04-06,Toronto,20.8,69.7
2024-04-06,Vancouver,,32.1
2024-04-06,Montreal,27.9,50.4
2024-04-06,Calgary,7.2,
2024-04-06,Ottawa,27.4,
2024-04-06,Edmonton,1.8,5.9
2024-04-06,Quebec City,16.7,41.1
2024-04-06,Winnipeg,34.4,74.8
2024-04-06,Halifax,,74.4
2024-04-06,Victoria,7.9,25.5
2024-04-07,Toronto,34.6,46.8
2024-04-07,Vancouver,28.9,55.0
2024-04-07,Montreal,14.7,
2024-04-07,Calgary,32.1,57.7
2024-04-07,Ottawa,30.9,8.3
2024-04-07,Edmonton,2.5,
2024-04-07,Quebec City,3.1,83.5
2024-04-07,Winnipeg,23.3,
2024-04-07,Halifax,10.1,45.3
2024-04-07,Victoria,31.9,0.9
2024-04-08,Toronto,9.2,36.5
2024-04-08,Vancouver,-4.3,8.7
2024-04-08,Montreal,9.8,10.7
2024-04-08,Calgary,,
2024-04-08,Ottawa,34.3,
2024-04-08,Edmonton,8.5,
2024-04-08,Quebec City,28.9,43.0
2024-04-08,Winnipeg,-2.7,27.2
2024-04-08,Halifax,16.3,
2024-04-08,Victoria,,
2024-04-09,Toronto,13.5,54.6
2024-04-09,Vancouver,5.0,31.9
2024-04-09,Montreal,31.3,42.9
2024-04-09,Calgary,-1.7,27.9
2024-04-09,Ottawa,0.3,52.6
2024-04-09,Edmonton,-0.9,16.5
2024-04-09,Quebec City,29.0,75.7
2024-04-09,Winnipeg,,13.8
2024-04-09,Halifax,,49.6
2024-04-09,Victoria,29.0,68.4
2024-04-10,Toronto,14.2,
2024-04-10,Vancouver,,75.6
2024-04-10,Montreal,28.8,53.0
2024-04-10,Calgary,-2.5,16.4
2024-04-10,Ottawa,14.8,57.6
2024-04-10,Edmonton,-9.3,
2024-04-10,Quebec City,-5.2,15.5
2024-04-10,Winnipeg,12.4,3.1
2024-04-10,Halifax,,19.5
2024-04-10,Victoria,5.6,87.4
2024-04-11,Toronto,-1.1,45.7
2024-04-11,Vancouver,-1.4,78.9
2024-04-11,Montreal,5.0,
2024-04-11,Calgary,34.5,57.1
2024-04-11,Ottawa,19.8,91.2
2024-04-11,Edmonton,7.6,
2024-04-11,Quebec City,26.4,44.1
2024-04-11,Winnipeg,,76.4
2024-04-11,Halifax,19.3,95.5
2024-04-11,Victoria,,
2024-04-12,Toronto,5.4,85.6
2024-04-12,Vancouver,,40.8
2024-04-12,Montreal,-3.9,42.3
2024-04-12,Calgary,-7.1,2.1
2024-04-12,Ottawa,32.7,
2024-04-12,Edmonton,13.1,34.2
2024-04-12,Quebec City,3.2,19.9
2024-04-12,Winnipeg,-2.9,81.8
2024-04-12,Halifax,24.9,87.4
2024-04-12,Victoria,-2.4,7.6
2024-04-13,Toronto,-6.0,
2024-04-13,Vancouver,32.2,96.1
2024-04-13,Montreal,,63.9
2024-04-13,Calgary,21.7,
2024-04-13,Ottawa,8.9,44.7
2024-04-13,Edmonton,,36.5
2024-04-13,Quebec City,,70.2
2024-04-13,Winnipeg,30.2,
2024-04-13,Halifax,,
2024-04-13,Victoria,-9.5,73.5
2024-04-14,Toronto,-9.9,42.7
2024-04-14,Vancouver,2.3,20.8
2024-04-14,Montreal,13.8,30.4
2024-04-14,Calgary,2.0,11.8
2024-04-14,Ottawa,-2.8,51.6
2024-04-14,Edmonton,21.4,17.8
2024-04-14,Quebec City,22.2,61.4
2024-04-14,Winnipeg,33.6,8.5
2024-04-14,Halifax,8.2,24.8
2024-04-14,Victoria,30.8,7.9
2024-04-15,Toronto,,61.1
2024-04-15,Vancouver,10.3,15.6
2024-04-15,Montreal,,
2024-04-15,Calgary,-8.0,50.9
2024-04-15,Ottawa,-6.5,4.8
2024-04-15,Edmonton,-4.1,83.5
2024-04-15,Quebec City,22.7,49.3
2024-04-15,Winnipeg,33.7,56.1
2024-04-15,Halifax,2.2,10.2
2024-04-15,Victoria,17.4,55.3
2024-04-16,Toronto,3.5,9.7
2024-04-16,Vancouver,30.2,69.2
2024-04-16,Montreal,21.8,
2024-04-16,Calgary,34.2,
2024-04-16,Ottawa,-6.2,30.3
2024-04-16,Edmonton,22.6,
2024-04-16,Quebec City,2.1,2.4
2024-04-16,Winnipeg,-6.6,
2024-04-16,Halifax,12.4,12.9
2024-04-16,Victoria,-6.7,13.0
2024-04-17,Toronto,21.2,69.3
2024-04-17,Vancouver,,89.3
2024-04-17,Montreal,-1.7,92.5
2024-04-17,Calgary,-9.0,89.1
2024-04-17,Ottawa,-2.3,
2024-04-17,Edmonton,7.7,86.6
2024-04-17,Quebec City,3.2,
2024-04-17,Winnipeg,20.2,6.8
2024-04-17,Halifax,-3.4,
2024-04-17,Victoria,,49.2
2024-04-18,Toronto,,74.9
2024-04-18,Vancouver,33.6,26.8
2024-04-18,Montreal,,
2024-04-18,Calgary,29.0,59.6
2024-04-18,Ottawa,,25.6
2024-04-18,Edmonton,,83.7
2024-04-18,Quebec City,-3.6,55.2
2024-04-18,Winnipeg,4.6,
2024-04-18,Halifax,4.5,46.2
2024-04-18,Victoria,31.1,45.2
2024-04-19,Toronto,30.5,76.5
2024-04-19,Vancouver,16.9,53.1
2024-04-19,Montreal,,80.4
2024-04-19,Calgary,34.2,41.6
2024-04-19,Ottawa,-7.5,53.4
2024-04-19,Edmonton,,49.6
2024-04-19,Quebec City,,67.6
2024-04-19,Winnipeg,25.7,61.4
2024-04-19,Halifax,16.9,
2024-04-19,Victoria,,85.0
2024-04-20,Toronto,-2.7,3.6
2024-04-20,Vancouver,17.8,
2024-04-20,Montreal,,97.9
2024-04-20,Calgary,18.3,86.9
2024-04-20,Ottawa,21.7,74.9
2024-04-20,Edmonton,-2.1,55.0
2024-04-20,Quebec City,26.7,98.0
2024-04-20,Winnipeg,22.6,
2024-04-20,Halifax,24.6,17.0
2024-04-20,Victoria,26.7,
2024-04-21,Toronto,6.6,
2024-04-21,Vancouver,0.1,36.3
2024-04-21,Montreal,,46.7
2024-04-21,Calgary,28.3,9.2
2024-04-21,Ottawa,24.1,
2024-04-21,Edmonton,,
2024-04-21,Quebec City,20.5,57.6
2024-04-21,Winnipeg,16.2,36.8
2024-04-21,Halifax,-5.2,49.2
2024-04-21,Victoria,,35.9
2024-04-22,Toronto,,60.5
2024-04-22,Vancouver,,
2024-04-22,Montreal,,27.0
2024-04-22,Calgary,23.5,
2024-04-22,Ottawa,,83.3
2024-04-22,Edmonton,25.0,39.1
2024-04-22,Quebec City,2.4,
2024-04-22,Winnipeg,,70.2
2024-04-22,Halifax,2.5,
2024-04-22,Victoria,-9.9,14.0
2024-04-23,Toronto,31.8,
2024-04-23,Vancouver,28.6,89.9
2024-04-23,Montreal,2.5,75.8
2024-04-23,Calgary,,73.3
2024-04-23,Ottawa,,14.0
2024-04-23,Edmonton,22.5,65.2
2024-04-23,Quebec City,20.3,86.1
2024-04-23,Winnipeg,-2.9,63.0
2024-04-23,Halifax,6.3,72.9
2024-04-23,Victoria,29.7,55.2
2024-04-24,Toronto,14.9,88.0
2024-04-24,Vancouver,,28.0
2024-04-24,Montreal,22.5,45.7
2024-04-24,Calgary,,0.5
2024-04-24,Ottawa,-9.6,65.5
2024-04-24,Edmonton,-10.0,82.9
2024-04-24,Quebec City,23.0,
2024-04-24,Winnipeg,7.8,39.3
2024-04-24,Halifax,24.2,
2024-04-24,Victoria,29.1,
2024-04-25,Toronto,-5.2,8.7
2024-04-25,Vancouver,,34.3
2024-04-25,Montreal,16.0,79.5
2024-04-25,Calgary,21.7,42.5
2024-04-25,Ottawa,,41.3
2024-04-25,Edmonton,27.0,22.0
2024-04-25,Quebec City,,96.4
2024-04-25,Winnipeg,8.1,3.5
2024-04-25,Halifax,28.7,95.5
2024-04-25,Victoria,19.4,
2024-04-26,Toronto,,31.5
2024-04-26,Vancouver,15.1,
2024-04-26,Montreal,21.4,
2024-04-26,Calgary,19.8,73.8
2024-04-26,Ottawa,-8.2,76.1
2024-04-26,Edmonton,5.1,37.7
2024-04-26,Quebec City,1.8,6.8
2024-04-26,Winnipeg,,31.2
2024-04-26,Halifax,10.4,61.7
2024-04-26,Victoria,10.0,44.5
2024-04-27,Toronto,10.0,84.3
2024-04-27,Vancouver,-0.3,4.7
2024-04-27,Montreal,-1.8,32.7
2024-04-27,Calgary,,94.0
2024-04-27,Ottawa,,
2024-04-27,Edmonton,-7.6,11.8
2024-04-27,Quebec City,2.0,21.1
2024-04-27,Winnipeg,-2.6,88.5
2024-04-27,Halifax,15.7,
2024-04-27,Victoria,16.9,
2024-04-28,Toronto,28.8,69.3
2024-04-28,Vancouver,2.1,8.9
2024-04-28,Montreal,3.7,75.2
2024-04-28,Calgary,21.1,23.1
2024-04-28,Ottawa,26.1,81.5
2024-04-28,Edmonton,28.0,
2024-04-28,Quebec City,-9.2,46.1
2024-04-28,Winnipeg,28.9,84.1
2024-04-28,Halifax,,
2024-04-28,Victoria,,
2024-04-29,Toronto,1.3,77.4
2024-04-29,Vancouver,-6.6,22.5
2024-04-29,Montreal,26.7,20.4
2024-04-29,Calgary,7.8,
2024-04-29,Ottawa,30.7,93.5
2024-04-29,Edmonton,33.4,
2024-04-29,Quebec City,22.4,79.2
2024-04-29,Winnipeg,30.5,4.9
2024-04-29,Halifax,-5.1,72.2
2024-04-29,Victoria,28.5,94.0
2024-04-30,Toronto,21.6,
2024-04-30,Vancouver,-4.8,53.6
2024-04-30,Montreal,13.7,55.3
2024-04-30,Calgary,26.3,98.7
2024-04-30,Ottawa,23.0,
2024-04-30,Edmonton,20.7,50.0
2024-04-30,Quebec City,,87.0
2024-04-30,Winnipeg,,
2024-04-30,Halifax,25.7,5.4
2024-04-30,Victoria,24.2,
2024-05-01,Toronto,,4.2
2024-05-01,Vancouver,-4.6,66.5
2024-05-01,Montreal,,66.5
2024-05-01,Calgary,1.4,15.1
2024-05-01,Ottawa,-1.1,68.6
2024-05-01,Edmonton,28.7,12.8
2024-05-01,Quebec City,3.1,39.5
2024-05-01,Winnipeg,,
2024-05-01,Halifax,-5.2,60.7
2024-05-01,Victoria,34.8,69.5
2024-05-02,Toronto,4.5,22.6
2024-05-02,Vancouver,-8.6,51.7
2024-05-02,Montreal,,72.1
2024-05-02,Calgary,7.8,91.9
2024-05-02,Ottawa,,
2024-05-02,Edmonton,,
2024-05-02,Quebec City,,86.8
2024-05-02,Winnipeg,-10.0,94.6
2024-05-02,Halifax,,0.7
2024-05-02,Victoria,21.8,80.0
2024-05-03,Toronto,22.8,
2024-05-03,Vancouver,18.7,16.2
2024-05-03,Montreal,27.4,10.9
2024-05-03,Calgary,25.1,94.3
2024-05-03,Ottawa,,
2024-05-03,Edmonton,32.9,17.7
2024-05-03,Quebec City,33.1,30.3
2024-05-03,Winnipeg,2.1,
2024-05-03,Halifax,,69.4
2024-05-03,Victoria,-8.3,56.7
2024-05-04,Toronto,-9.3,20.2
2024-05-04,Vancouver,-6.4,
2024-05-04,Montreal,33.2,
2024-05-04,Calgary,29.6,86.0
2024-05-04,Ottawa,11.7,5.9
2024-05-04,Edmonton,-3.4,
2024-05-04,Quebec City,7.9,9.6
2024-05-04,Winnipeg,3.8,
2024-05-04,Halifax,,84.1
2024-05-04,Victoria,-7.9,91.8
2024-05-05,Toronto,27.1,3.6
2024-05-05,Vancouver,13.5,94.9
2024-05-05,Montreal,14.1,56.8
2024-05-05,Calgary,22.2,3.7
2024-05-05,Ottawa,,21.7
2024-05-05,Edmonton,7.8,61.2
2024-05-05,Quebec City,0.9,99.9
2024-05-05,Winnipeg,29.0,45.6
2024-05-05,Halifax,7.3,59.9
2024-05-05,Victoria,,55.4
2024-05-06,Toronto,12.9,31.7
2024-05-06,Vancouver,7.4,
2024-05-06,Montreal,10.2,47.5
2024-05-06,Calgary,28.8,68.5
2024-05-06,Ottawa,-4.5,39.8
2024-05-06,Edmonton,10.5,14.0
2024-05-06,Quebec City,25.3,
2024-05-06,Winnipeg,,
2024-05-06,Halifax,-9.1,9.6
2024-05-06,Victoria,31.0,77.6
2024-05-07,Toronto,,
2024-05-07,Vancouver,15.4,
2024-05-07,Montreal,23.0,
2024-05-07,Calgary,,90.6
2024-05-07,Ottawa,7.7,30.2
2024-05-07,Edmonton,29.1,94.5
2024-05-07,Quebec City,25.2,
2024-05-07,Winnipeg,,40.9
2024-05-07,Halifax,16.2,20.1
2024-05-07,Victoria,-9.5,
2024-05-08,Toronto,2.6,48.3
2024-05-08,Vancouver,0.7,19.6
2024-05-08,Montreal,-4.5,62.8
2024-05-08,Calgary,3.6,28.7
2024-05-08,Ottawa,-0.6,44.8
2024-05-08,Edmonton,-0.6,16.8
2024-05-08,Quebec City,23.9,41.7
2024-05-08,Winnipeg,21.0,12.6
2024-05-08,Halifax,28.1,52.5
2024-05-08,Victoria,3.8,70.5
2024-05-09,Toronto,6.5,14.4
2024-05-09,Vancouver,9.4,23.4
2024-05-09,Montreal,28.7,94.4
2024-05-09,Calgary,,
2024-05-09,Ottawa,18.5,
2024-05-09,Edmonton,,93.9
2024-05-09,Quebec City,31.7,41.8
2024-05-09,Winnipeg,34.9,12.3
2024-05-09,Halifax,-2.0,73.1
2024-05-09,Victoria,-9.0,91.9
2024-05-10,Toronto,,54.2
2024-05-10,Vancouver,27.6,35.2
2024-05-10,Montreal,0.9,33.7
2024-05-10,Calgary,9.4,2.2
2024-05-10,Ottawa,,81.4
2024-05-10,Edmonton,9.4,6.4
2024-05-10,Quebec City,,4.9
2024-05-10,Winnipeg,19.6,
2024-05-10,Halifax,5.3,76.0
2024-05-10,Victoria,23.0,99.6
2024-05-11,Toronto,,59.6
2024-05-11,Vancouver,,36.5
2024-05-11,Montreal,-1.9,6.1
2024-05-11,Calgary,,57.4
2024-05-11,Ottawa,21.7,83.2
2024-05-11,Edmonton,1.6,69.9
2024-05-11,Quebec City,19.3,29.0
2024-05-11,Winnipeg,9.3,
2024-05-11,Halifax,,3.2
2024-05-11,Victoria,12.1,20.7
2024-05-12,Toronto,,96.0
2024-05-12,Vancouver,-5.2,96.1
2024-05-12,Montreal,-5.1,41.6
2024-05-12,Calgary,,59.0
2024-05-12,Ottawa,26.2,
2024-05-12,Edmonton,26.3,91.7
2024-05-12,Quebec City,,
2024-05-12,Winnipeg,,21.1
2024-05-12,Halifax,19.5,
2024-05-12,Victoria,20.4,79.7
2024-05-13,Toronto,,27.1
2024-05-13,Vancouver,8.3,10.9
2024-05-13,Montreal,17.3,57.5
2024-05-13,Calgary,18.9,90.4
2024-05-13,Ottawa,31.0,87.2
2024-05-13,Edmonton,27.5,2.4
2024-05-13,Quebec City,,68.9
2024-05-13,Winnipeg,27.7,
2024-05-13,Halifax,,43.4
2024-05-13,Victoria,-9.6,46.1
2024-05-14,Toronto,2.2,0.1
2024-05-14,Vancouver,10.6,78.7
2024-05-14,Montreal,,17.5
2024-05-14,Calgary,10.5,36.5
2024-05-14,Ottawa,9.3,98.8
2024-05-14,Edmonton,13.3,19.4
2024-05-14,Quebec City,-4.7,91.8
2024-05-14,Winnipeg,2.4,
2024-05-14,Halifax,22.3,11.6
2024-05-14,Victoria,0.2,14.0
2024-05-15,Toronto,32.1,10.4
2024-05-15,Vancouver,-0.6,
2024-05-15,Montreal,1.3,6.2
2024-05-15,Calgary,30.6,61.4
2024-05-15,Ottawa,-6.6,
2024-05-15,Edmonton,18.2,70.1
2024-05-15,Quebec City,,53.4
2024-05-15,Winnipeg,,51.8
2024-05-15,Halifax,16.4,97.7
2024-05-15,Victoria,,61.1
2024-05-16,Toronto,,
2024-05-16,Vancouver,,87.1
2024-05-16,Montreal,13.1,42.9
2024-05-16,Calgary,20.8,79.2
2024-05-16,Ottawa,29.2,63.0
2024-05-16,Edmonton,,50.5
2024-05-16,Quebec City,7.8,12.6
2024-05-16,Winnipeg,,55.8
2024-05-16,Halifax,-6.4,66.1
2024-05-16,Victoria,28.9,55.8
2024-05-17,Toronto,2.7,63.5
2024-05-17,Vancouver,,5.9
2024-05-17,Montreal,8.8,91.1
2024-05-17,Calgary,,
2024-05-17,Ottawa,,31.4
2024-05-17,Edmonton,12.5,
2024-05-17,Quebec City,-9.8,11.3
2024-05-17,Winnipeg,11.9,42.6
2024-05-17,Halifax,19.5,68.8
2024-05-17,Victoria,18.7,97.5
2024-05-18,Toronto,28.1,40.0
2024-05-18,Vancouver,3.0,
2024-05-18,Montreal,2.2,4.6
2024-05-18,Calgary,0.8,11.1
2024-05-18,Ottawa,1.3,
2024-05-18,Edmonton,-1.9,
2024-05-18,Quebec City,0.9,
2024-05-18,Winnipeg,23.2,11.1
2024-05-18,Halifax,,
2024-05-18,Victoria,-6.7,31.8
2024-05-19,Toronto,20.8,15.3
2024-05-19,Vancouver,27.6,28.4
2024-05-19,Montreal,19.1,
2024-05-19,Calgary,-2.8,85.0
2024-05-19,Ottawa,,44.2
2024-05-19,Edmonton,,43.6
2024-05-19,Quebec City,7.3,88.1
2024-05-19,Winnipeg,33.0,93.2
2024-05-19,Halifax,-7.9,32.5
2024-05-19,Victoria,,94.4
2024-05-20,Toronto,2.3,81.6
2024-05-20,Vancouver,27.9,
2024-05-20,Montreal,33.1,28.1
2024-05-20,Calgary,33.6,44.6
2024-05-20,Ottawa,,
2024-05-20,Edmonton,24.7,
2024-05-20,Quebec City,9.1,88.8
2024-05-20,Winnipeg,24.8,88.9
2024-05-20,Halifax,28.0,
2024-05-20,Victoria,18.3,95.3
2024-05-21,Toronto,,
2024-05-21,Vancouver,30.0,31.0
2024-05-21,Montreal,-7.3,
2024-05-21,Calgary,0.8,
2024-05-21,Ottawa,-7.2,
2024-05-21,Edmonton,30.6,20.0
2024-05-21,Quebec City,-0.2,10.0
2024-05-21,Winnipeg,22.9,62.0
2024-05-21,Halifax,,42.7
2024-05-21,Victoria,-4.6,
2024-05-22,Toronto,15.2,2.4
2024-05-22,Vancouver,,55.0
2024-05-22,Montreal,-8.8,
2024-05-22,Calgary,-1.5,2.6
2024-05-22,Ottawa,,
2024-05-22,Edmonton,-2.6,
2024-05-22,Quebec City,12.6,12.6
2024-05-22,Winnipeg,34.4,41.5
2024-05-22,Halifax,,
2024-05-22,Victoria,,41.2
2024-05-23,Toronto,20.7,
2024-05-23,Vancouver,,32.2
2024-05-23,Montreal,-6.8,
2024-05-23,Calgary,-6.3,75.8
2024-05-23,Ottawa,21.5,69.7
2024-05-23,Edmonton,15.7,12.8
2024-05-23,Quebec City,6.6,64.0
2024-05-23,Winnipeg,19.6,
2024-05-23,Halifax,8.6,39.0
